1								0	0	0	0																							0	-1	
2																																				
								3	3	3	3																							3		
																								5		4										
																								6												
								10	7	9	8																									
		15	15		15	15		11	11	11	11						15							15				15			12			15		12
14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	13	14	14	14	14	14	14	14		14
		29	17	20	27	25			11															16				23			19		78	29		19
			18																																	
				21																																22
																												24								
						26																														
					28																															
		30																																30		
		65					73																											31		
								32	32	32	32																		33							33
																									34				35							35
								36	36	36	36																									
	85											38	38	38												75						38		37		
												41	39	40																		42				
	43											43	43	43												43						43		43		
						45							45		45	45			45	44	45	45		45	45		45		45	45						45
	46											46	46	46												46						46		46		
						48									48	48			47		48	48		48	48		48		48	48						48
	49											49	49	49												49						49		49		
						51									50	51					51	51		51	51		51		51	51						51
	52											52	52	52												52						52		52		
						54										53					54	54		54	54		54		54	54						54
	55											55	55	55												55						55		55		
						57															56	57		57	57		57		57	57						57
	58											58	58	58												58						58		58		
						60																59		60	60		60		60	60						60
	61											61	61	61															62			61		61		62
																									63		64		64	64						64
																	66										66									
																	68									67	68									
													74																	70				74		70
																	71							72			71									72
																																	76			
																																	77			
								79	79	79	79																							80		80
82								81	81	81	81																							81		82
															14	14	14	14	14	14	14	14		14	14	84	83		14	14						
